FileName,UsedPackage
ConsoleHandler_4,True
ErrorManager_1,True
FileHandler_3,True
FileHandler_5,True
Formatter_1,True
Formatter_2,True
Formatter_3,False
Handler_2,True
Handler_3,True
Handler_4,True
Handler_5,True
Logger_1,True
Logger_2,True
Logger_3,True
Logger_4,True
Logger_5,True
LogManager_2,True
LogManager_3,True
LogRecord_1,True
LogRecord_2,True
LogRecord_3,True
LogRecord_4,True
LogRecord_5,True
LogRecord_6,True
LogRecord_7,True
LogRecord_8,True
LogRecord_9,True
LogRecord_10,True
LogRecord_11,True
LogRecord_12,True
LogRecord_13,True
LogRecord_14,True
LogRecord_15,True
MemoryHandler_2,True
SimpleFormatter_1,False
SocketHandler_1,True
SocketHandler_2,True
StreamHandler_1,True
StreamHandler_2,True
StreamHandler_3,True
StreamHandler_5,True
