Sample Number,ClassName,Snippet Number,Method,Exist
0,BreakIteratorProvider,1,boolean isBoundary(int offset),False
0,BreakIteratorProvider,2,int following(int offset),False
0,BreakIteratorProvider,3,int preceding(int offset),False
0,BreakIteratorProvider,4,int first(),False
0,BreakIteratorProvider,5,int last(),False
0,BreakIteratorProvider,6,int next(int offset),False
0,BreakIteratorProvider,7,int next(),False
0,BreakIteratorProvider,8,int previous(),False
0,BreakIteratorProvider,9,int previous(int offset),False
0,BreakIteratorProvider,10,int following(int offset),False
1,CollatorProvider,1,boolean equals(Object anObject),False
1,CollatorProvider,2,int hashCode(),False
1,CollatorProvider,3,Collator getInstance(Locale locale),True
1,CollatorProvider,4,"Collator getInstance(Locale locale, String variant)",False
1,CollatorProvider,5,"Collator getInstance(Locale locale, String variant, String options)",False
2,DateFormatProvider,1,DateFormatProvider getInstance(),False
2,DateFormatProvider,2,List<Locale> getAvailableLocales(),False
2,DateFormatProvider,3,"DateFormat getDateInstance(int style, Locale locale)",True
2,DateFormatProvider,4,"DateFormat getTimeInstance(int style, Locale locale)",True
2,DateFormatProvider,5,"DateFormat getDateTimeInstance(int dateStyle, int timeStyle, Locale locale)",True
3,DateFormatSymbolsProvider,1,getMonths(),False
3,DateFormatSymbolsProvider,2,getShortMonths(),False
3,DateFormatSymbolsProvider,3,getWeekdays(),False
3,DateFormatSymbolsProvider,4,getShortWeekdays(),False
3,DateFormatSymbolsProvider,5,getEras(),False
4,DecimalFormatSymbolsProvider,1,getAvailableLocales(),False
4,DecimalFormatSymbolsProvider,2,getInstance(Locale locale),False
4,DecimalFormatSymbolsProvider,3,getPropertyNames(),False
4,DecimalFormatSymbolsProvider,4,getProperty(String name),False
4,DecimalFormatSymbolsProvider,5,getProperties(),False
5,NumberFormatProvider,1,boolean isPadded(),False
5,NumberFormatProvider,2,boolean isGroupingUsed(),False
5,NumberFormatProvider,3,boolean isParseIntegerOnly(),False
5,NumberFormatProvider,4,boolean isLenient(),False
5,NumberFormatProvider,5,NumberFormat getCurrencyInstance(),False
