FileName,UsedPackage
AbstractQueuedSynchronizer_1,True
AbstractQueuedSynchronizer_2,True
AbstractQueuedSynchronizer_3,True
AbstractQueuedSynchronizer_4,True
AbstractQueuedSynchronizer_5,True
AbstractQueuedSynchronizer_7,False
AbstractQueuedSynchronizer_8,True
AbstractQueuedSynchronizer_9,False
LockSupport_1,True
LockSupport_2,True
LockSupport_3,True
LockSupport_4,True
ReentrantLock_1,True
ReentrantLock_2,True
ReentrantLock_3,True
ReentrantLock_4,True
ReentrantLock_5,True
ReentrantReadWriteLock_ReadLock_1,True
ReentrantReadWriteLock_ReadLock_2,True
ReentrantReadWriteLock_ReadLock_3,True
ReentrantReadWriteLock_ReadLock_4,True
ReentrantReadWriteLock_ReadLock_5,True
ReentrantReadWriteLock_WriteLock_1,True
ReentrantReadWriteLock_WriteLock_2,True
ReentrantReadWriteLock_WriteLock_3,True
ReentrantReadWriteLock.WriteLock_4,False
ReentrantReadWriteLock_WriteLock_5,True
StampedLock_1,True
StampedLock_2,True
StampedLock_3,True
StampedLock_4,True
