FileName,UsedPackage
AdjustmentEvent_1,True
AdjustmentEvent_2,True
AdjustmentEvent_5,True
ComponentAdapter_1,True
ComponentAdapter_2,True
ComponentAdapter_3,True
ComponentAdapter_4,True
FocusAdapter_1,True
FocusAdapter_2,True
FocusAdapter_3,True
FocusAdapter_4,True
FocusAdapter_5,True
FocusAdapter_6,True
InputEvent_1,True
InputEvent_2,True
InputEvent_3,True
InputEvent_4,True
KeyAdapter_1,True
KeyAdapter_2,True
KeyAdapter_3,True
KeyEvent_1,True
KeyEvent_2,True
MouseAdapter_1,True
MouseAdapter_2,True
MouseAdapter_3,True
MouseAdapter_4,False
MouseAdapter_5,True
MouseEvent_1,True
MouseEvent_2,True
MouseEvent_3,True
MouseEvent_4,True
MouseMotionAdapter_1,True
MouseMotionAdapter_2,False
MouseWheelEvent_1,True
MouseWheelEvent_2,True
MouseWheelEvent_3,True
MouseWheelEvent_4,True
PaintEvent_5,True
WindowAdapter_1,True
WindowAdapter_2,True
WindowAdapter_3,True
WindowAdapter_4,True
WindowAdapter_5,True
WindowAdapter_6,True
WindowAdapter_7,True
WindowAdapter_8,True
WindowAdapter_9,True
WindowAdapter_10,True
