FileName,UsedPackage
BasicPermission_1,True
BasicPermission_2,True
BasicPermission_3,True
BasicPermission_4,True
CodeSource_1,True
CodeSource_2,True
CodeSource_3,True
CodeSource_4,True
CodeSource_5,True
DigestInputStream_2,True
DigestInputStream_4,True
DigestOutputStream_2,True
DigestOutputStream_4,True
KeyPairGenerator_2,True
KeyPairGenerator_3,True
KeyPairGenerator_4,True
KeyStore.PasswordProtection_2,False
KeyStore.PasswordProtection_4,False
KeyStore_PasswordProtection_5,True
KeyStore_PrivateKeyEntry_2,True
KeyStore_PrivateKeyEntry_3,True
MessageDigest_2,True
MessageDigest_3,True
MessageDigest_4,True
MessageDigest_5,True
MessageDigestSpi_5,False
MessageDigestSpi_6,False
MessageDigestSpi_8,False
MessageDigestSpi_9,False
MessageDigestSpi_10,False
Permission_1,True
Permission_2,True
Permission_3,True
Permission_4,True
Permission_5,True
PermissionCollection_1,True
PermissionCollection_4,False
Permissions_1,True
PKCS12Attribute_5,True
Provider_3,True
SecureRandom_2,True
SecureRandom_3,True
SecureRandom_4,True
SignedObject_2,True
SignedObject_3,True
