Sample Number,ClassName,Snippet Number,Method,Exist
0,AccessControlContext,1,boolean checkPermission(Permission perm),False
0,AccessControlContext,2,"void checkPermission(Permission perm, Object context)",False
0,AccessControlContext,3,void setReadOnly(),False
0,AccessControlContext,4,void setReadOnly(boolean readOnly),False
0,AccessControlContext,5,boolean isReadOnly(),False
1,AccessController,1,boolean checkPermission(Permission perm),False
1,AccessController,2,"void checkPermission(Permission perm, Object context)",False
1,AccessController,3,void checkSecurityAccess(String target),False
1,AccessController,4,"void checkSecurityAccess(String target, Object context)",False
1,AccessController,5,"void checkSecurityAccess(String target, Object context, ProtectionDomain domain)",False
2,AlgorithmParameterGenerator,1,AlgorithmParameterGenerator,False
2,AlgorithmParameterGenerator,2,init(SecureRandom random),False
2,AlgorithmParameterGenerator,3,init(AlgorithmParameterSpec params),False
2,AlgorithmParameterGenerator,4,generateParameters(),False
2,AlgorithmParameterGenerator,5,getParameterSpec(Class<T> parameterSpec),False
2,AlgorithmParameterGenerator,6,getParameterSpec(AlgorithmParameterSpec parameterSpec),False
2,AlgorithmParameterGenerator,7,"getParameterSpec(Class<T> parameterSpec, AlgorithmParameterSpec parameterSpec)",False
2,AlgorithmParameterGenerator,8,"getParameterSpec(AlgorithmParameterSpec parameterSpec, AlgorithmParameterSpec parameterSpec)",False
2,AlgorithmParameterGenerator,9,"getParameterSpec(Class<T> parameterSpec, AlgorithmParameterSpec parameterSpec, AlgorithmParameterSpec parameterSpec)",False
2,AlgorithmParameterGenerator,10,"getParameterSpec(AlgorithmParameterSpec parameterSpec, AlgorithmParameterSpec parameterSpec, AlgorithmParameterSpec parameterSpec)",False
3,AlgorithmParameterGeneratorSpi,1,AlgorithmParameterGeneratorSpi(),False
3,AlgorithmParameterGeneratorSpi,2,init(SecureRandom random),False
3,AlgorithmParameterGeneratorSpi,3,generateParameters(),False
3,AlgorithmParameterGeneratorSpi,4,getParameterSpec(Class<T> parameterSpec),False
3,AlgorithmParameterGeneratorSpi,5,setParameter(byte[] params),False
4,AlgorithmParameters,1,getParameterSpec(Class<T> parameterSpec),False
4,AlgorithmParameters,2,getParameterSpecs(Class<T> parameterSpec),False
4,AlgorithmParameters,3,getParameter(String parameterName),False
4,AlgorithmParameters,4,getParameterNames(),False
4,AlgorithmParameters,5,getParameter(String parameterName),False
5,AlgorithmParametersSpi,1,boolean isInitialized(),False
5,AlgorithmParametersSpi,2,void init(SecureRandom sr),False
5,AlgorithmParametersSpi,3,"void setParameter(String name, byte[] value)",False
5,AlgorithmParametersSpi,4,byte[] getParameter(String name),False
5,AlgorithmParametersSpi,5,byte[] getEncoded(),False
6,AllPermission,1,boolean add(E e),False
6,AllPermission,2,boolean addAll(Collection<? extends E> c),False
6,AllPermission,3,void clear(),False
6,AllPermission,4,boolean contains(Object o),False
6,AllPermission,5,boolean containsAll(Collection<?> c),False
7,AuthProvider,1,boolean add(E e),False
7,AuthProvider,2,boolean addAll(Collection<? extends E> c),False
7,AuthProvider,3,void clear(),False
7,AuthProvider,4,boolean contains(Object o),False
7,AuthProvider,5,boolean containsAll(Collection<?> c),False
8,BasicPermission,1,boolean implies(Permission p),True
8,BasicPermission,2,boolean equals(Object obj),True
8,BasicPermission,3,String getActions(),True
8,BasicPermission,4,int hashCode(),True
8,BasicPermission,5,String getName(),False
9,CodeSigner,1,String getSignerCertPath(),False
9,CodeSigner,2,String getSignerCertPath(String type),False
9,CodeSigner,3,"String getSignerCertPath(String type, String algorithm)",False
9,CodeSigner,4,"String getSignerCertPath(String type, String algorithm, String provider)",False
9,CodeSigner,5,"String getSignerCertPath(String type, String algorithm, String provider, String parameter)",False
10,CodeSource,1,URL getLocation(),True
10,CodeSource,2,boolean equals(Object obj),True
10,CodeSource,3,int hashCode(),True
10,CodeSource,4,String toString(),True
10,CodeSource,5,boolean implies(CodeSource cs),True
11,DigestInputStream,1,"DigestInputStream(InputStream in, MessageDigest md)",False
11,DigestInputStream,2,int read(),True
11,DigestInputStream,3,int read(byte[] b),False
11,DigestInputStream,4,"int read(byte[] b, int off, int len)",True
11,DigestInputStream,5,void close(),False
12,DigestOutputStream,1,"DigestOutputStream(OutputStream out, MessageDigest md)",False
12,DigestOutputStream,2,void write(int b),True
12,DigestOutputStream,3,void write(byte[] b),False
12,DigestOutputStream,4,"void write(byte[] b, int off, int len)",True
12,DigestOutputStream,5,void flush(),False
13,DomainLoadStoreParameter,1,boolean add(E e),False
