FileName,UsedPackage
AlphaComposite_1,True
BasicStroke_2,True
BasicStroke_3,True
BasicStroke_4,True
BasicStroke_5,True
BufferCapabilities_2,False
Button_2,True
Button_3,True
Canvas_1,False
Canvas_2,True
CardLayout_1,True
CardLayout_2,True
CardLayout_4,True
CardLayout_5,True
Checkbox_2,True
Checkbox_3,True
Checkbox_4,True
CheckboxGroup_5,True
CheckboxMenuItem_2,True
Choice_2,True
Choice_3,True
Choice_4,True
Choice_5,True
Color_1,True
Color_2,True
Color_3,True
Color_4,True
Color_5,True
Component_1,True
Component_2,True
Component_3,True
Component_4,True
Component_5,False
Desktop_2,True
Desktop_3,True
Dialog_4,True
Dimension_3,True
Dimension_4,True
Dimension_5,True
FileDialog_2,True
FileDialog_3,True
FileDialog_4,False
FileDialog_5,True
FileDialog_10,True
FileDialog_11,True
FlowLayout_4,True
FlowLayout_5,True
FlowLayout_6,True
FlowLayout_15,True
FlowLayout_16,True
FocusTraversalPolicy_2,False
FocusTraversalPolicy_3,False
FocusTraversalPolicy_4,False
FocusTraversalPolicy_5,False
FocusTraversalPolicy_6,True
Font_3,True
FontMetrics_1,True
FontMetrics_2,True
FontMetrics_3,True
FontMetrics_4,True
Frame_3,True
GradientPaint_3,False
GradientPaint_4,False
Graphics_1,True
Graphics_2,True
Graphics_3,True
Graphics_4,True
Graphics_5,True
Graphics2D_5,True
GraphicsConfiguration_2,True
GraphicsConfiguration_3,True
GraphicsConfiguration_4,True
GraphicsConfiguration_5,True
GraphicsDevice_2,True
GraphicsDevice_4,True
GraphicsDevice_5,True
GraphicsDevice_7,True
GraphicsDevice_8,True
GraphicsDevice_10,True
GraphicsDevice_11,True
GraphicsDevice_13,True
GraphicsDevice_14,True
