Sample Number,ClassName,Snippet Number,Method,Exist
0,InvalidValueHelper,1,boolean isInvalidValue(DynAny dynAny),False
0,InvalidValueHelper,2,DynAny createInvalidValue(String invalidValue),False
0,InvalidValueHelper,3,DynAny createInvalidValue(DynAny dynAny),False
0,InvalidValueHelper,4,"DynAny createInvalidValue(DynAny dynAny, String invalidValue)",False
0,InvalidValueHelper,5,"DynAny createInvalidValue(DynAny dynAny, DynAny invalidValue)",False
1,TypeMismatchHelper,1,boolean isTypeMismatch(DynAny dynAny),False
1,TypeMismatchHelper,2,DynAny toDynAny(Object obj),False
1,TypeMismatchHelper,3,Object toObject(DynAny dynAny),False
1,TypeMismatchHelper,4,"DynAny toDynAny(Object obj, String typeName)",False
1,TypeMismatchHelper,5,"Object toObject(DynAny dynAny, String typeName)",False
