ClassName,Method,Return Type
AddressHelper,extract(Any a),static String
AddressHelper,id(),static String
AddressHelper,"insert(Any a, String that)",static void
AddressHelper,read(InputStream istream),static String
AddressHelper,type(),static TypeCode
AddressHelper,"write(OutputStream ostream, String value)",static void
InvalidAddressHelper,extract(Any a),static InvalidAddress
InvalidAddressHelper,id(),static String
InvalidAddressHelper,"insert(Any a, InvalidAddress that)",static void
InvalidAddressHelper,read(InputStream istream),static InvalidAddress
InvalidAddressHelper,type(),static TypeCode
InvalidAddressHelper,"write(OutputStream ostream, InvalidAddress value)",static void
InvalidAddressHolder,_read(InputStream i),void
InvalidAddressHolder,_type(),TypeCode
InvalidAddressHolder,_write(OutputStream o),void
StringNameHelper,extract(Any a),static String
StringNameHelper,id(),static String
StringNameHelper,"insert(Any a, String that)",static void
StringNameHelper,read(InputStream istream),static String
StringNameHelper,type(),static TypeCode
StringNameHelper,"write(OutputStream ostream, String value)",static void
URLStringHelper,extract(Any a),static String
URLStringHelper,id(),static String
URLStringHelper,"insert(Any a, String that)",static void
URLStringHelper,read(InputStream istream),static String
URLStringHelper,type(),static TypeCode
URLStringHelper,"write(OutputStream ostream, String value)",static void
