PackageName,Recommended,Exist,Used Package,Compliable,Runnable,Percentage=>,Exist/Recommended,1,Used Package/Exist,Used Package/Recommended,2,Compilable/Used Package,Compilable/Exist,Compilable/Recommended,3,Runnable/Compilable,Runnable/Used Package,Runnable/Exist,Runnable/Recommended
java.applet,5,2,2,1,0,,40.0,,100.0,40.0,,50.0,50.0,20.0,,0.0,0.0,0.0,0.0
java.awt,267,82,72,58,17,,30.71,,87.8,26.97,,80.56,70.73,21.72,,20.73,23.61,20.73,6.37
java.awt.color,25,4,3,0,0,,16.0,,75.0,12.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
java.awt.datatransfer,25,4,4,2,0,,16.0,,100.0,16.0,,50.0,50.0,8.0,,0.0,0.0,0.0,0.0
java.awt.dnd,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
java.awt.event,162,48,46,21,10,,29.63,,95.83,28.4,,45.65,43.75,12.96,,20.83,21.74,20.83,6.17
java.awt.font,131,14,13,2,2,,10.69,,92.86,9.92,,15.38,14.29,1.53,,14.29,15.38,14.29,1.53
java.awt.geom,411,103,100,88,88,,25.06,,97.09,24.33,,88.0,85.44,21.41,,85.44,88.0,85.44,21.41
java.awt.im,15,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
java.awt.im.spi,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
java.awt.image,344,56,52,40,33,,16.28,,92.86,15.12,,76.92,71.43,11.63,,58.93,63.46,58.93,9.59
java.awt.image.renderable,20,2,1,1,0,,10.0,,50.0,5.0,,100.0,50.0,5.0,,0.0,0.0,0.0,0.0
java.awt.print,50,4,4,3,2,,8.0,,100.0,8.0,,75.0,75.0,6.0,,50.0,50.0,50.0,4.0
java.beans,185,42,39,33,24,,22.7,,92.86,21.08,,84.62,78.57,17.84,,57.14,61.54,57.14,12.97
java.beans.beancontext,76,4,1,0,0,,5.26,,25.0,1.32,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
java.io,370,252,235,203,172,,68.11,,93.25,63.51,,86.38,80.56,54.86,,68.25,73.19,68.25,46.49
java.lang,348,130,119,114,104,,37.36,,91.54,34.2,,95.8,87.69,32.76,,80.0,87.39,80.0,29.89
java.lang.annotation,0,0,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0
java.lang.instrument,5,0,0,0,0,,0.0,,0,0.0,,0,0,0.0,,0,0,0,0.0
java.lang.invoke,71,7,4,1,0,,9.86,,57.14,5.63,,25.0,14.29,1.41,,0.0,0.0,0.0,0.0
java.lang.management,35,9,9,8,8,,25.71,,100.0,25.71,,88.89,88.89,22.86,,88.89,88.89,88.89,22.86
java.lang.ref,30,2,2,1,1,,6.67,,100.0,6.67,,50.0,50.0,3.33,,50.0,50.0,50.0,3.33
java.lang.reflect,78,13,11,10,9,,16.67,,84.62,14.1,,90.91,76.92,12.82,,69.23,81.82,69.23,11.54
java.math,40,12,12,12,12,,30.0,,100.0,30.0,,100.0,100.0,30.0,,100.0,100.0,100.0,30.0
java.net,425,144,139,126,90,,33.88,,96.53,32.71,,90.65,87.5,29.65,,62.5,64.75,62.5,21.18
java.nio,65,27,27,27,24,,41.54,,100.0,41.54,,100.0,100.0,41.54,,88.89,88.89,88.89,36.92
