FileName,UsedPackage
Adler32_4,True
Adler32_5,True
CheckedInputStream_1,True
CheckedInputStream_3,True
CheckedInputStream_4,True
CheckedOutputStream_2,True
CheckedOutputStream_4,True
CRC32_1,True
CRC32_2,True
CRC32_3,True
CRC32_4,True
Deflater_1,True
Deflater_2,True
Deflater_3,True
Deflater_4,True
Deflater_5,True
DeflaterInputStream_5,False
DeflaterOutputStream_3,True
GZIPInputStream_3,True
GZIPInputStream_4,True
GZIPOutputStream_4,True
GZIPOutputStream_5,True
Inflater_1,True
Inflater_2,True
Inflater_3,True
Inflater_4,True
Inflater_5,True
InflaterInputStream_1,True
InflaterInputStream_3,True
InflaterInputStream_4,True
InflaterInputStream_5,True
InflaterOutputStream_5,True
ZipEntry_2,True
ZipEntry_3,True
ZipEntry_4,True
ZipEntry_5,True
ZipEntry_6,True
ZipEntry_7,True
ZipEntry_8,True
ZipEntry_9,True
ZipEntry_10,True
ZipEntry_13,True
ZipEntry_14,True
ZipEntry_15,True
ZipEntry_16,True
ZipEntry_28,True
ZipEntry_29,True
ZipEntry_30,True
ZipEntry_31,True
ZipEntry_32,True
ZipEntry_33,True
ZipEntry_34,True
ZipEntry_35,True
ZipEntry_38,True
ZipEntry_39,True
ZipEntry_40,True
ZipEntry_41,True
ZipFile_2,True
ZipFile_3,True
ZipFile_4,True
ZipFile_5,True
ZipInputStream_4,True
ZipInputStream_5,True
ZipOutputStream_1,True
ZipOutputStream_2,True
ZipOutputStream_3,True
ZipOutputStream_4,True
