FileName,Compilable,Runnable,Correct
BufferedInputStream_1,True,False,False
BufferedInputStream_3,True,False,False
BufferedInputStream_4,True,False,False
BufferedInputStream_5,True,True,True
BufferedOutputStream_2,True,True,True
BufferedOutputStream_4,True,True,True
BufferedOutputStream_5,True,True,True
BufferedReader_1,True,True,True
BufferedReader_3,True,True,True
BufferedReader_4,True,True,True
BufferedReader_5,True,False,False
BufferedWriter_2,True,True,True
BufferedWriter_3,False,False,False
BufferedWriter_4,True,True,True
BufferedWriter_5,True,True,True
ByteArrayOutputStream_1,False,False,False
ByteArrayOutputStream_4,True,True,True
ByteArrayOutputStream_5,False,False,False
CharArrayReader_1,False,False,False
CharArrayReader_2,True,True,True
CharArrayReader_3,True,True,True
CharArrayReader_4,False,False,False
CharArrayReader_5,False,False,False
CharArrayWriter_2,False,False,False
CharArrayWriter_4,False,False,False
CharArrayWriter_5,True,True,True
Console_2,True,True,True
Console_3,True,True,True
DataInputStream_2,True,False,False
DataInputStream_3,True,False,False
DataInputStream_4,True,False,False
DataOutputStream_1,True,True,True
DataOutputStream_2,True,True,True
DataOutputStream_3,True,True,True
DataOutputStream_4,True,True,True
DataOutputStream_5,True,True,True
DataOutputStream_6,True,True,True
DataOutputStream_7,True,True,True
DataOutputStream_8,True,True,True
DataOutputStream_9,True,True,True
DataOutputStream_10,True,True,True
DataOutputStream_11,True,True,True
DataOutputStream_12,True,True,True
DataOutputStream_13,True,True,True
DataOutputStream_14,True,True,True
DataOutputStream_15,True,True,True
File_1,True,True,True
File_2,True,True,True
File_3,True,True,True
File_4,True,True,True
FileDescriptor_3,True,False,False
FileInputStream_3,True,False,False
FileInputStream_4,True,False,False
FileInputStream_5,True,False,False
FileInputStream_6,True,False,False
FileOutputStream_5,True,True,True
FileOutputStream_6,True,True,True
FileOutputStream_7,True,True,True
FileOutputStream_9,True,True,True
FilePermission_2,True,True,True
FilePermission_3,True,True,True
FilePermission_4,True,True,True
FilePermission_5,False,False,False
FilterInputStream_2,False,False,False
FilterInputStream_3,True,True,True
FilterOutputStream_1,True,True,True
FilterOutputStream_2,True,True,True
FilterOutputStream_3,True,True,True
FilterOutputStream_4,True,True,True
FilterOutputStream_5,False,False,False
FilterReader_3,True,False,False
FilterReader_4,False,False,False
FilterWriter_1,True,True,True
InputStream_1,True,True,True
InputStream_2,True,True,True
InputStream_3,True,True,True
InputStream_4,True,False,False
InputStream_5,True,True,True
InputStreamReader_1,True,True,True
InputStreamReader_3,True,True,True
InputStreamReader_5,True,False,False
LineNumberInputStream_3,True,False,False
LineNumberInputStream_5,True,False,False
LineNumberReader_1,True,True,True
LineNumberReader_3,True,True,True
ObjectStreamClass_3,False,False,False
ObjectStreamClass_5,False,False,False
ObjectStreamField_2,True,True,True
ObjectStreamField_3,True,True,True
OutputStream_1,True,True,True
OutputStream_2,False,False,False
OutputStream_3,True,True,True
OutputStream_4,True,True,True
OutputStream_5,True,True,True
OutputStreamWriter_1,True,True,True
OutputStreamWriter_3,True,True,True
OutputStreamWriter_5,True,True,True
PipedInputStream_1,True,True,True
PipedInputStream_2,True,False,False
PipedInputStream_3,True,True,True
PipedInputStream_5,True,True,True
PipedOutputStream_2,True,True,True
PipedOutputStream_4,True,False,False
PipedWriter_1,True,False,False
PipedWriter_2,True,False,False
PipedWriter_3,True,False,False
PipedWriter_5,True,False,False
PrintStream_1,True,True,True
PrintStream_2,True,True,True
PrintStream_3,True,True,True
PrintStream_4,True,True,True
PrintStream_5,True,True,True
PrintStream_6,True,True,True
PrintStream_7,False,False,False
PrintStream_8,True,True,True
PrintStream_9,True,True,True
PrintStream_10,True,True,True
PrintStream_11,True,True,True
PrintStream_12,True,True,True
PrintStream_13,True,True,True
PrintStream_14,True,True,True
PrintStream_15,True,True,True
PrintStream_16,True,True,True
PrintStream_17,True,True,True
PrintWriter_1,True,True,True
PrintWriter_2,True,True,True
PrintWriter_3,True,True,True
PrintWriter_4,True,True,True
PrintWriter_5,True,True,True
PrintWriter_6,True,True,True
PrintWriter_7,True,True,True
PrintWriter_8,True,True,True
PrintWriter_9,True,True,True
PrintWriter_10,True,True,True
PrintWriter_11,True,True,True
PrintWriter_12,True,True,True
PrintWriter_13,True,True,True
PrintWriter_14,True,True,True
PrintWriter_15,True,True,True
PushbackInputStream_1,True,True,True
PushbackInputStream_3,True,True,True
PushbackInputStream_4,True,True,True
PushbackInputStream_5,True,True,True
PushbackReader_1,True,True,True
PushbackReader_3,True,True,True
PushbackReader_4,True,True,True
PushbackReader_5,True,False,False
RandomAccessFile_1,True,True,True
RandomAccessFile_2,True,True,True
RandomAccessFile_3,True,True,True
RandomAccessFile_5,True,True,True
RandomAccessFile_6,True,True,True
RandomAccessFile_7,True,True,True
RandomAccessFile_8,True,True,True
RandomAccessFile_9,True,True,True
RandomAccessFile_10,True,True,True
RandomAccessFile_11,True,True,True
RandomAccessFile_15,True,True,True
RandomAccessFile_16,True,True,True
RandomAccessFile_17,True,True,True
RandomAccessFile_18,True,False,False
RandomAccessFile_19,True,False,False
RandomAccessFile_21,True,True,True
RandomAccessFile_22,True,True,True
RandomAccessFile_23,True,True,True
RandomAccessFile_24,True,True,True
RandomAccessFile_25,True,True,True
RandomAccessFile_26,True,True,True
RandomAccessFile_27,True,True,True
RandomAccessFile_28,True,True,True
RandomAccessFile_29,True,True,True
RandomAccessFile_30,True,True,True
RandomAccessFile_31,True,True,True
RandomAccessFile_32,True,True,True
RandomAccessFile_33,True,False,False
RandomAccessFile_34,True,True,True
RandomAccessFile_35,True,True,True
RandomAccessFile_36,True,True,True
RandomAccessFile_38,True,True,True
RandomAccessFile_39,True,True,True
RandomAccessFile_40,True,True,True
RandomAccessFile_41,True,False,False
RandomAccessFile_42,True,False,False
RandomAccessFile_44,True,True,True
