FileName,Compilable,Runnable,Correct
MetalBorders_ButtonBorder_4,True,False,False
MetalBorders_ButtonBorder_5,False,False,False
MetalBorders_Flush3DBorder_4,True,False,False
MetalBorders_Flush3DBorder_5,False,False,False
MetalBorders_InternalFrameBorder_2,True,False,False
MetalBorders_MenuBarBorder_4,True,False,False
MetalBorders_MenuBarBorder_5,False,False,False
MetalBorders_MenuItemBorder_4,True,False,False
MetalBorders_MenuItemBorder_5,False,False,False
MetalBorders_OptionDialogBorder_4,True,False,False
MetalBorders_OptionDialogBorder_5,False,False,False
MetalBorders_PaletteBorder_4,False,False,False
MetalBorders_PaletteBorder_5,False,False,False
MetalBorders_ScrollPaneBorder_4,True,False,False
MetalBorders_ScrollPaneBorder_5,False,False,False
MetalBorders_TableHeaderBorder_4,True,False,False
MetalBorders_TableHeaderBorder_5,False,False,False
MetalPopupMenuSeparatorUI_1,True,False,False
MetalScrollBarUI_2,False,False,False
MetalSeparatorUI_1,True,False,False
MetalSliderUI_2,False,False,False
MetalSliderUI_3,False,False,False
